,^NYICDX,TWD=X,JPY=X,CNY=X,CNH=X,2330.TW,2454.TW,2303.TW,2317.TW,2382.TW,3231.TW,2603.TW,2609.TW,2615.TW,9921.TW,9914.TW
2026-05-13,98.4800033569336,31.55900001525879,157.8509979248047,6.790800094604492,6.741720199584961,2220.0,3495.0,98.4000015258789,251.0,340.5,140.5,210.0,49.25,74.30000305175781,75.69999694824219,62.900001525878906
2026-05-14,98.87999725341797,31.56439971923828,158.3820037841797,6.785099983215332,6.741720199584961,2270.0,3405.0,108.0,244.5,334.5,138.0,211.5,48.599998474121094,74.80000305175781,73.5,63.79999923706055
2026-05-15,99.2699966430664,31.56439971923828,158.3820037841797,6.785099983215332,6.741720199584961,2265.0,3260.0,110.0,248.5,306.0,135.5,200.5,48.04999923706055,74.19999694824219,75.9000015258789,70.0999984741211
2026-05-17,99.2699966430664,31.586999893188477,158.843994140625,6.809199810028076,6.741720199584961,2265.0,3260.0,110.0,248.5,306.0,135.5,200.5,48.04999923706055,74.19999694824219,75.9000015258789,70.0999984741211
2026-05-18,98.97000122070312,31.554100036621094,158.86099243164062,6.800000190734863,6.741720199584961,2240.0,3400.0,111.0,248.5,300.0,135.5,197.5,48.54999923706055,76.9000015258789,72.30000305175781,68.4000015258789
2026-05-19,99.30000305175781,31.72920036315918,159.03500366210938,6.814499855041504,6.741720199584961,2205.0,3155.0,113.0,245.0,290.0,132.5,197.0,49.5,80.4000015258789,72.0,68.5
2026-05-20,99.11000061035156,31.59119987487793,158.88800048828125,6.80049991607666,6.741720199584961,2185.0,3230.0,108.0,240.0,290.0,132.5,212.5,50.29999923706055,81.0999984741211,70.5999984741211,68.5
2026-05-21,99.19000244140625,31.550800323486328,159.01800537109375,6.802499771118164,6.741720199584961,2230.0,3550.0,116.0,247.5,308.0,140.0,212.0,51.099998474121094,81.19999694824219,70.80000305175781,70.0
2026-05-22,99.31999969482422,31.550800323486328,159.01800537109375,6.802499771118164,6.741720199584961,2255.0,3860.0,114.0,250.0,316.0,144.5,219.0,53.0,84.30000305175781,70.30000305175781,67.80000305175781
2026-05-24,99.31999969482422,31.43899917602539,158.9459991455078,6.79449987411499,6.741720199584961,2255.0,3860.0,114.0,250.0,316.0,144.5,219.0,53.0,84.30000305175781,70.30000305175781,67.80000305175781
2026-05-25,99.31999969482422,31.448400497436523,158.95399475097656,6.79449987411499,6.741720199584961,2310.0,4245.0,125.0,261.0,316.5,149.0,214.0,51.79999923706055,83.30000305175781,69.5,68.19999694824219
2026-05-26,99.16999816894531,31.445899963378906,159.2429962158203,6.785999774932861,6.741720199584961,2270.0,4265.0,130.5,259.0,316.5,146.0,211.5,52.0,81.5,68.0,67.30000305175781
2026-05-27,99.20999908447266,31.465900421142578,159.5679931640625,6.778800010681152,6.741720199584961,2300.0,4640.0,143.5,264.0,312.0,145.0,211.5,52.599998474121094,81.80000305175781,66.19999694824219,64.9000015258789
2026-05-28,99.0199966430664,31.423999786376953,159.27000427246094,6.7795000076293945,6.741720199584961,2295.0,4410.0,142.0,263.0,308.5,144.5,211.0,52.29999923706055,80.69999694824219,67.80000305175781,66.0
2026-05-29,98.91000366210938,31.423999786376953,159.27000427246094,6.7795000076293945,6.741720199584961,2355.0,4310.0,144.5,289.0,339.0,158.5,213.0,52.70000076293945,82.0,69.30000305175781,66.69999694824219
2026-05-31,98.91000366210938,31.412900924682617,159.35299682617188,6.766200065612793,6.741720199584961,2355.0,4310.0,144.5,289.0,339.0,158.5,213.0,52.70000076293945,82.0,69.30000305175781,66.69999694824219
2026-06-01,99.19999694824219,31.33049964904785,159.63600158691406,6.764999866485596,6.741720199584961,2355.0,4555.0,146.0,293.5,372.5,174.0,224.0,54.900001525878906,84.4000015258789,69.80000305175781,68.0
2026-06-02,99.22000122070312,31.478200912475586,159.96800231933594,6.762199878692627,6.741720199584961,2380.0,4525.0,141.5,301.5,400.5,191.0,231.0,53.599998474121094,84.19999694824219,69.80000305175781,68.9000015258789
2026-06-03,99.52999877929688,31.50550079345703,159.94000244140625,6.769199848175049,6.741720199584961,2425.0,4545.0,130.5,309.0,417.0,194.0,237.0,53.70000076293945,83.9000015258789,70.4000015258789,69.30000305175781
